"pkgSchema","pkgName","qualifiedName","sourceFilename"
"DBM","AAHKART","AAHKART","AAHKART.CBL"
"DBM","AAHKDIV","AAHKDIV","AAHKDIV.CBL"
"DBM","AAHKOBU","AAHKOBU","AAHKOBU.CBL"
"DBM","AAHKRST","AAHKRST","AAHKRST.CBL"
"DBM","AAHKTPL","AAHKTPL","AAHKTPL.CBL"
"DBM","AAHKUA2","AAHKUA2","AAHKUA2.CBL"
"DBM","AAHKUA3","AAHKUA3","AAHKUA3.CBL"
"DBM","AAHKUAJ","AAHKUAJ","AAHKUAJ.CBL"
"DBM","AAHKUPR","AAHKUPR","AAHKUPR.CBL"
"DBM","AAHKWEB","AAHKWEB","AAHKWEB.CBL"
"DBM","AAHLEAJ","AAHLEAJ","AAHLEAJ.CBL"
"DBM","AAHLEMA","AAHLEMA","AAHLEMA.CBL"
"DBM","AAHLEVA","AAHLEVA","AAHLEVA.CBL"
"DBM","AAHLEVI","AAHLEVI","AAHLEVI.CBL"
"DBM","AAHLOKA","AAHLOKA","AAHLOKA.CBL"
"DBM","AAHLTID","AAHLTID","AAHLTID.CBL"
"DBM","AAHLUTA","AAHLUTA","AAHLUTA.CBL"
"DBM","AAHM001","AAHM001","AAHM001.CBL"
"DBM","AAHM002","AAHM002","AAHM002.CBL"
"DBM","AAHM008","AAHM008","AAHM008.CBL"
"DBM","AAHM009","AAHM009","AAHM009.CBL"
"DBM","AAHM010","AAHM010","AAHM010.CBL"
"DBM","AAHM011","AAHM011","AAHM011.CBL"
"DBM","AAHM013","AAHM013","AAHM013.CBL"
"DBM","AAHM014","AAHM014","AAHM014.CBL"
"DBM","AAHM015","AAHM015","AAHM015.CBL"
"DBM","AAHM017","AAHM017","AAHM017.CBL"
"DBM","AAHM019","AAHM019","AAHM019.CBL"
"DBM","AAHM022","AAHM022","AAHM022.CBL"
"DBM","AAHM023","AAHM023","AAHM023.CBL"
"DBM","AAHM024","AAHM024","AAHM024.CBL"
"DBM","AAHM025","AAHM025","AAHM025.CBL"
"DBM","AAHM027","AAHM027","AAHM027.CBL"
"DBM","AAHM028","AAHM028","AAHM028.CBL"
"DBM","AAHM030","AAHM030","AAHM030.CBL"
"DBM","AAHM031","AAHM031","AAHM031.CBL"
"DBM","AAHM033","AAHM033","AAHM033.CBL"
"DBM","AAHM038","AAHM038","AAHM038.CBL"
"DBM","AAHM043","AAHM043","AAHM043.CBL"
"DBM","AAHM044","AAHM044","AAHM044.CBL"
"DBM","AAHM047","AAHM047","AAHM047.CBL"
"DBM","AAHM049","AAHM049","AAHM049.CBL"
"DBM","AAHM055","AAHM055","AAHM055.CBL"
"DBM","AAHM058","AAHM058","AAHM058.CBL"
"DBM","AAHM059","AAHM059","AAHM059.CBL"
"DBM","AAHM061","AAHM061","AAHM061.CBL"
"DBM","AAHM062","AAHM062","AAHM062.CBL"
"DBM","AAHMAFO","AAHMAFO","AAHMAFO.CBL"
"DBM","AAHMARE","AAHMARE","AAHMARE.CBL"
