"File","FullPath","Extension","Risk","Disqualifiers","HitCount"
"DOHCHK4.CBL","C:\opt\data\AutoDocJson\tmp\DedgeRepository\Dedge\cbl\DOHCHK4.CBL",".CBL","HIGH","C3,B-FILEIO","15"
"DOHCHK6.CBL","C:\opt\data\AutoDocJson\tmp\DedgeRepository\Dedge\cbl\DOHCHK6.CBL",".CBL","HIGH","C3,B-FILEIO","14"
"DOHCONN.CBL","C:\opt\data\AutoDocJson\tmp\DedgeRepository\Dedge\cbl\DOHCONN.CBL",".CBL","MEDIUM","B-FILEIO","3"
"DOHKOMM.CBL","C:\opt\data\AutoDocJson\tmp\DedgeRepository\Dedge\cbl\DOHKOMM.CBL",".CBL","MEDIUM","B-FILEIO","3"
"DOHMAP.CBL","C:\opt\data\AutoDocJson\tmp\DedgeRepository\Dedge\cbl\DOHMAP.CBL",".CBL","MEDIUM","B-FILEIO","2"
"DOHNOTR.CBL","C:\opt\data\AutoDocJson\tmp\DedgeRepository\Dedge\cbl\DOHNOTR.CBL",".CBL","MEDIUM","B-FILEIO","3"
"DOHPARTI.CBL","C:\opt\data\AutoDocJson\tmp\DedgeRepository\Dedge\cbl\DOHPARTI.CBL",".CBL","MEDIUM","B-FILEIO","3"
"DOHSCAN.CBL","C:\opt\data\AutoDocJson\tmp\DedgeRepository\Dedge\cbl\DOHSCAN.CBL",".CBL","HIGH","C3,B-FILEIO","38"
"DOHSJEKK.CBL","C:\opt\data\AutoDocJson\tmp\DedgeRepository\Dedge\cbl\DOHSJEKK.CBL",".CBL","MEDIUM","B-FILEIO","3"
"DOHUDB.CBL","C:\opt\data\AutoDocJson\tmp\DedgeRepository\Dedge\cbl\DOHUDB.CBL",".CBL","MEDIUM","B-FILEIO","4"
"DOHUTGAT.CBL","C:\opt\data\AutoDocJson\tmp\DedgeRepository\Dedge\cbl\DOHUTGAT.CBL",".CBL","HIGH","C3,B-FILEIO","12"
"DRABUD.CBL","C:\opt\data\AutoDocJson\tmp\DedgeRepository\Dedge\cbl\DRABUD.CBL",".CBL","HIGH","B-FILEIO,C3","21"
"DRABUD16.CBL","C:\opt\data\AutoDocJson\tmp\DedgeRepository\Dedge\cbl\DRABUD16.CBL",".CBL","MEDIUM","B-FILEIO","8"
"DRABUD17.CBL","C:\opt\data\AutoDocJson\tmp\DedgeRepository\Dedge\cbl\DRABUD17.CBL",".CBL","MEDIUM","B-FILEIO","8"
"DRABUD18.CBL","C:\opt\data\AutoDocJson\tmp\DedgeRepository\Dedge\cbl\DRABUD18.CBL",".CBL","MEDIUM","B-FILEIO","8"
"DRABUD19.CBL","C:\opt\data\AutoDocJson\tmp\DedgeRepository\Dedge\cbl\DRABUD19.CBL",".CBL","MEDIUM","B-FILEIO","8"
"DRABUD20.CBL","C:\opt\data\AutoDocJson\tmp\DedgeRepository\Dedge\cbl\DRABUD20.CBL",".CBL","MEDIUM","B-FILEIO","8"
"DRABUD20X.CBL","C:\opt\data\AutoDocJson\tmp\DedgeRepository\Dedge\cbl\DRABUD20X.CBL",".CBL","MEDIUM","B-FILEIO","8"
"DRABUD21.CBL","C:\opt\data\AutoDocJson\tmp\DedgeRepository\Dedge\cbl\DRABUD21.CBL",".CBL","MEDIUM","B-FILEIO","8"
"DRABUDSU.CBL","C:\opt\data\AutoDocJson\tmp\DedgeRepository\Dedge\cbl\DRABUDSU.CBL",".CBL","MEDIUM","B-FILEIO","8"
"DRABUDSUX.CBL","C:\opt\data\AutoDocJson\tmp\DedgeRepository\Dedge\cbl\DRABUDSUX.CBL",".CBL","MEDIUM","B-FILEIO","8"
"DRAFOMR.CBL","C:\opt\data\AutoDocJson\tmp\DedgeRepository\Dedge\cbl\DRAFOMR.CBL",".CBL","HIGH","C3","5"
"DRARRAPA.CBL","C:\opt\data\AutoDocJson\tmp\DedgeRepository\Dedge\cbl\DRARRAPA.CBL",".CBL","HIGH","B-FILEIO,C3","54"
"DRAVANA.CBL","C:\opt\data\AutoDocJson\tmp\DedgeRepository\Dedge\cbl\DRAVANA.CBL",".CBL","HIGH","C3","8"
"DRAVASP.CBL","C:\opt\data\AutoDocJson\tmp\DedgeRepository\Dedge\cbl\DRAVASP.CBL",".CBL","HIGH","C3","3"
"DRBFRAK.CBL","C:\opt\data\AutoDocJson\tmp\DedgeRepository\Dedge\cbl\DRBFRAK.CBL",".CBL","HIGH","B-FILEIO,C3","29"
"DRBHUS.CBL","C:\opt\data\AutoDocJson\tmp\DedgeRepository\Dedge\cbl\DRBHUS.CBL",".CBL","HIGH","B-FILEIO,C3","21"
"DRBKLAG.CBL","C:\opt\data\AutoDocJson\tmp\DedgeRepository\Dedge\cbl\DRBKLAG.CBL",".CBL","HIGH","B-FILEIO,C3","39"
"DRBMKOR.CBL","C:\opt\data\AutoDocJson\tmp\DedgeRepository\Dedge\cbl\DRBMKOR.CBL",".CBL","HIGH","B-FILEIO,C3","23"
"DRBPSLG.CBL","C:\opt\data\AutoDocJson\tmp\DedgeRepository\Dedge\cbl\DRBPSLG.CBL",".CBL","HIGH","B-FILEIO,C3","23"
"DRBRUBI.CBL","C:\opt\data\AutoDocJson\tmp\DedgeRepository\Dedge\cbl\DRBRUBI.CBL",".CBL","HIGH","B-FILEIO,C3","27"
"DRBRUBID.CBL","C:\opt\data\AutoDocJson\tmp\DedgeRepository\Dedge\cbl\DRBRUBID.CBL",".CBL","HIGH","B-FILEIO,C3","27"
"DRBSALG.CBL","C:\opt\data\AutoDocJson\tmp\DedgeRepository\Dedge\cbl\DRBSALG.CBL",".CBL","HIGH","B-FILEIO,C3","28"
"DRBTRAN.CBL","C:\opt\data\AutoDocJson\tmp\DedgeRepository\Dedge\cbl\DRBTRAN.CBL",".CBL","HIGH","B-FILEIO,C3","29"
"DRBTTRAN.CBL","C:\opt\data\AutoDocJson\tmp\DedgeRepository\Dedge\cbl\DRBTTRAN.CBL",".CBL","HIGH","B-FILEIO,C3","29"
"DRBVSUM.CBL","C:\opt\data\AutoDocJson\tmp\DedgeRepository\Dedge\cbl\DRBVSUM.CBL",".CBL","MEDIUM","B-FILEIO","19"
"drhmkor.cbl","C:\opt\data\AutoDocJson\tmp\DedgeRepository\Dedge\cbl\drhmkor.cbl",".CBL","HIGH","C3","27"
"DRHOPER.CBL","C:\opt\data\AutoDocJson\tmp\DedgeRepository\Dedge\cbl\DRHOPER.CBL",".CBL","HIGH","C3","9"
"DRHRRAPA.CBL","C:\opt\data\AutoDocJson\tmp\DedgeRepository\Dedge\cbl\DRHRRAPA.CBL",".CBL","HIGH","C3","74"
"DRVEDBK.CBL","C:\opt\data\AutoDocJson\tmp\DedgeRepository\Dedge\cbl\DRVEDBK.CBL",".CBL","HIGH","C3","7"
"DRVMKOR.CBL","C:\opt\data\AutoDocJson\tmp\DedgeRepository\Dedge\cbl\DRVMKOR.CBL",".CBL","HIGH","C3","18"
"DRVOPER.CBL","C:\opt\data\AutoDocJson\tmp\DedgeRepository\Dedge\cbl\DRVOPER.CBL",".CBL","HIGH","C3","7"
"DRVRRAPA.CBL","C:\opt\data\AutoDocJson\tmp\DedgeRepository\Dedge\cbl\DRVRRAPA.CBL",".CBL","LOW","NONE","0"
"DRX18KB.CBL","C:\opt\data\AutoDocJson\tmp\DedgeRepository\Dedge\cbl\DRX18KB.CBL",".CBL","HIGH","C3,B-FILEIO","8"
"DRX18KV.CBL","C:\opt\data\AutoDocJson\tmp\DedgeRepository\Dedge\cbl\DRX18KV.CBL",".CBL","HIGH","C3,B-FILEIO","8"
"DRX18KVI.CBL","C:\opt\data\AutoDocJson\tmp\DedgeRepository\Dedge\cbl\DRX18KVI.CBL",".CBL","HIGH","C3,B-FILEIO","8"
"DRX19KB.CBL","C:\opt\data\AutoDocJson\tmp\DedgeRepository\Dedge\cbl\DRX19KB.CBL",".CBL","HIGH","C3,B-FILEIO","8"
"DRX19KV.CBL","C:\opt\data\AutoDocJson\tmp\DedgeRepository\Dedge\cbl\DRX19KV.CBL",".CBL","HIGH","C3,B-FILEIO","8"
"DRX19KVI.CBL","C:\opt\data\AutoDocJson\tmp\DedgeRepository\Dedge\cbl\DRX19KVI.CBL",".CBL","HIGH","C3,B-FILEIO","8"
"DRXK07VIG.CBL","C:\opt\data\AutoDocJson\tmp\DedgeRepository\Dedge\cbl\DRXK07VIG.CBL",".CBL","HIGH","C3,B-FILEIO","9"
"DRXK16VI.CBL","C:\opt\data\AutoDocJson\tmp\DedgeRepository\Dedge\cbl\DRXK16VI.CBL",".CBL","HIGH","C3,B-FILEIO","9"
"DRXK17VI.CBL","C:\opt\data\AutoDocJson\tmp\DedgeRepository\Dedge\cbl\DRXK17VI.CBL",".CBL","HIGH","C3,B-FILEIO","9"
"DRXK18VI.CBL","C:\opt\data\AutoDocJson\tmp\DedgeRepository\Dedge\cbl\DRXK18VI.CBL",".CBL","HIGH","C3,B-FILEIO","9"
"DRXK19VI.CBL","C:\opt\data\AutoDocJson\tmp\DedgeRepository\Dedge\cbl\DRXK19VI.CBL",".CBL","HIGH","C3,B-FILEIO","9"
"DRXK20VI.CBL","C:\opt\data\AutoDocJson\tmp\DedgeRepository\Dedge\cbl\DRXK20VI.CBL",".CBL","HIGH","C3,B-FILEIO","9"
"DRXK21VI.CBL","C:\opt\data\AutoDocJson\tmp\DedgeRepository\Dedge\cbl\DRXK21VI.CBL",".CBL","HIGH","C3,B-FILEIO","9"
"DSBPRDB.CBL","C:\opt\data\AutoDocJson\tmp\DedgeRepository\Dedge\cbl\DSBPRDB.CBL",".CBL","HIGH","B-FILEIO,C3","37"
"DSBPRDF.CBL","C:\opt\data\AutoDocJson\tmp\DedgeRepository\Dedge\cbl\DSBPRDF.CBL",".CBL","HIGH","B-FILEIO,C3","33"
"DSBPRLO.CBL","C:\opt\data\AutoDocJson\tmp\DedgeRepository\Dedge\cbl\DSBPRLO.CBL",".CBL","HIGH","B-FILEIO,C3","36"
"DSBPRLP.CBL","C:\opt\data\AutoDocJson\tmp\DedgeRepository\Dedge\cbl\DSBPRLP.CBL",".CBL","HIGH","B-FILEIO,C3","28"
"DSBPRPF.CBL","C:\opt\data\AutoDocJson\tmp\DedgeRepository\Dedge\cbl\DSBPRPF.CBL",".CBL","HIGH","B-FILEIO,C3","33"
"DSBPRPR.CBL","C:\opt\data\AutoDocJson\tmp\DedgeRepository\Dedge\cbl\DSBPRPR.CBL",".CBL","HIGH","B-FILEIO,C3","43"
"DSFUNKS.CBL","C:\opt\data\AutoDocJson\tmp\DedgeRepository\Dedge\cbl\DSFUNKS.CBL",".CBL","LOW","NONE","0"
"dxbcusti.cbl","C:\opt\data\AutoDocJson\tmp\DedgeRepository\Dedge\cbl\dxbcusti.cbl",".CBL","HIGH","C3,B-FILEIO","78"
"EBAKOST.CBL","C:\opt\data\AutoDocJson\tmp\DedgeRepository\Dedge\cbl\EBAKOST.CBL",".CBL","HIGH","C3","7"
"ECAKUN1.CBL","C:\opt\data\AutoDocJson\tmp\DedgeRepository\Dedge\cbl\ECAKUN1.CBL",".CBL","HIGH","C3","21"
"ECAPIUP.CBL","C:\opt\data\AutoDocJson\tmp\DedgeRepository\Dedge\cbl\ECAPIUP.CBL",".CBL","HIGH","C3","8"
"ECARH.CBL","C:\opt\data\AutoDocJson\tmp\DedgeRepository\Dedge\cbl\ECARH.CBL",".CBL","HIGH","C3,B-FILEIO","16"
"ECARYDD.CBL","C:\opt\data\AutoDocJson\tmp\DedgeRepository\Dedge\cbl\ECARYDD.CBL",".CBL","HIGH","C3,B-FILEIO","18"
"ECASJPO.CBL","C:\opt\data\AutoDocJson\tmp\DedgeRepository\Dedge\cbl\ECASJPO.CBL",".CBL","HIGH","C3","10"
"ECASJTI.CBL","C:\opt\data\AutoDocJson\tmp\DedgeRepository\Dedge\cbl\ECASJTI.CBL",".CBL","HIGH","C3","12"
"ECASOH1.CBL","C:\opt\data\AutoDocJson\tmp\DedgeRepository\Dedge\cbl\ECASOH1.CBL",".CBL","HIGH","C3","36"
"ECASORE.CBL","C:\opt\data\AutoDocJson\tmp\DedgeRepository\Dedge\cbl\ECASORE.CBL",".CBL","HIGH","C3","14"
"ECASOUP.CBL","C:\opt\data\AutoDocJson\tmp\DedgeRepository\Dedge\cbl\ECASOUP.CBL",".CBL","HIGH","C3","24"
"ECAVARS.CBL","C:\opt\data\AutoDocJson\tmp\DedgeRepository\Dedge\cbl\ECAVARS.CBL",".CBL","HIGH","C3","16"
